gene_id	module	color
Montipora_capitata_HIv3___RNAseq.g949.t1	ME14	cyan
Montipora_capitata_HIv3___TS.g38464.t2b	ME16	lightcyan
Montipora_capitata_HIv3___TS.g38464.t2c	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g953.t1	ME19	lightyellow
Montipora_capitata_HIv3___RNAseq.g954.t1	ME19	lightyellow
Montipora_capitata_HIv3___TS.g38468.t2	ME10	purple
Montipora_capitata_HIv3___RNAseq.g957.t1	ME21	darkred
Montipora_capitata_HIv3___TS.g38472.t1	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g959.t1	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g960.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38477.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g964.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g965.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g966.t1	ME25	orange
Montipora_capitata_HIv3___TS.g38481.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g967.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g968.t1	ME24	darkgrey
Montipora_capitata_HIv3___TS.g38483.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g969.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g970.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g971.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g972.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38489.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g975.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g976.t1	ME8	pink
Montipora_capitata_HIv3___TS.g38492.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g978.t1a	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g978.t1b	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.7705_t	ME9	magenta
Montipora_capitata_HIv3___TS.g38495.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g38497.t1b	ME5	green
Montipora_capitata_HIv3___TS.g38497.t1a	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g984.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g989.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g990.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g991.t1	ME2	blue
Montipora_capitata_HIv3___TS.g38509.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g995.t1	ME12	tan
Montipora_capitata_HIv3___RNAseq.g996.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38512.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g999.t1	ME0	grey
Montipora_capitata_HIv3___TS.g38514.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g1002.t1	ME17	grey60
Montipora_capitata_HIv3___RNAseq.g1003.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g1005.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g1007.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1009.t1	ME5	green
Montipora_capitata_HIv3___TS.g38526.t1a	ME12	tan
Montipora_capitata_HIv3___RNAseq.g1017.t1	ME27	white
Montipora_capitata_HIv3___RNAseq.g1018.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1019.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1020.t1	ME20	royalblue
Montipora_capitata_HIv3___RNAseq.g1021.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g1022.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g1023.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1024.t1	ME4	yellow
Montipora_capitata_HIv3___TS.g38544.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g1029.t1	ME13	salmon
